"effort","total_infected"
0,3273
0.01,3172
0.02,3074
0.03,2928
0.04,2782
0.05,2682
0.06,2606
0.07,2517
0.08,2224
0.09,1943
0.1,1572
0.11,1240
0.12,932
0.13,812
0.14,730
0.15,637
0.16,447
0.17,306
0.18,241
0.19,240
0.2,225
0.21,220
0.22,217
0.23,213
0.24,210
0.25,210
0.26,210
0.27,208
0.28,208
0.29,205
0.3,201
0.31,201
0.32,199
0.33,199
0.34,199
0.35,199
0.36,199
0.37,199
0.38,199
0.39,199
0.4,199
0.41,199
0.42,199
0.43,199
0.44,199
0.45,199
0.46,199
0.47,199
0.48,199
0.49,199
0.5,199
0.51,199
0.52,199
0.53,199
0.54,199
0.55,199
0.56,199
0.57,199
0.58,199
0.59,199
0.6,199
0.61,199
0.62,199
0.63,199
0.64,199
0.65,199
0.66,199
0.67,199
0.68,199
0.69,199
0.7,199
0.71,199
0.72,199
0.73,199
0.74,199
0.75,199
0.76,199
0.77,199
0.78,199
0.79,199
0.8,199
0.81,199
0.82,199
0.83,199
0.84,199
0.85,199
0.86,199
0.87,199
0.88,199
0.89,199
0.9,199
0.91,199
0.92,199
0.93,199
0.94,199
0.95,199
0.96,199
0.97,199
0.98,199
0.99,199
1.0,199
